Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_blacken_BNC_congreso_GENERIC,GPT_CATEGORY
1,,,,"stud retrieved from history. I take out two bridges, goose-pimpled with rivets, and notice that a child has cleverly blackened the underside of one with smoke from a candle. There is a trunk, labelled WINDSOR, ENGLAND, EXPRESS, but the tracks were",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"stud retrieved from history. I take out two bridges, goose-pimpled with rivets, and notice that a child has cleverly blackened the underside of one with smoke from a candle. There is a trunk, labelled WINDSOR, ENGLAND, EXPRESS, but the tracks were",black,MAKE_BLACK,MAKE_BLACK
2,,,,", our white ironwork garden furniture – Brobdingnag lace – has reacquired its sense of place against these shower- blackened flagstones. A winter's evening, but chairs and a wobbly table bring back something of summer: a pair of glasses, folded",ADJECTIVE,ADJECTIVE,ADJECTIVE,", our white ironwork garden furniture – Brobdingnag lace – has reacquired its sense of place against these shower- blackened flagstones. A winter's evening, but chairs and a wobbly table bring back something of summer: a pair of glasses, folded",black,ADJECTIVE,ADJECTIVE
3,,,,"my guess is that he was too much of a gentleman. He must have realised you didn't know about Paul and he wasn't prepared to blacken my name in any way.' She paused, and when she looked up her eyes were suspiciously bright. 'He's a great guy, you know,",DEFAME,DEFAME,DEFAME,"my guess is that he was too much of a gentleman. He must have realised you didn't know about Paul and he wasn't prepared to blacken my name in any way.' She paused, and when she looked up her eyes were suspiciously bright. 'He's a great guy, you know,",black,DEFAME,DEFAME
4,,,,"mythical beasts on it like that, around here, but also as to its colour cos although the original we found was actually blackened , when one took when I took a very powerful torch to it, you could actually see the colour in the crevices still, this red",BE(COME)_BLACK,MAKE_BLACK,BE(COME)_BLACK,"mythical beasts on it like that, around here, but also as to its colour cos although the original we found was actually blackened , when one took when I took a very powerful torch to it, you could actually see the colour in the crevices still, this red",black,MAKE_BLACK,MAKE_BLACK
5,,,,"fire dogs for it. Smoke went out there. The original beam, black and that beam across there is the original beam which is blackened by all the smoke. Right, the arch braces of course had to be put in because they were if you look at it you'll see that they",BE(COME)_BLACK,MAKE_BLACK,BE(COME)_BLACK,"fire dogs for it. Smoke went out there. The original beam, black and that beam across there is the original beam which is blackened by all the smoke. Right, the arch braces of course had to be put in because they were if you look at it you'll see that they",black,BURN,BURN
6,,,,"justify her actions? All she had to do was admit to something she hadn't done. But in the morning the self-betrayal would blacken all memories. Lips twisting, she picked up her comb and began to pull it through her hair. 'I wish to God I'd never met you,",MEMORY,MEMORY,MEMORY,"justify her actions? All she had to do was admit to something she hadn't done. But in the morning the self-betrayal would blacken all memories. Lips twisting, she picked up her comb and began to pull it through her hair. 'I wish to God I'd never met you,",black,MEMORY,MEMORY
7,,,,you . But with all this soft talk of falling in love again you think a refusal wouldn't be a consideration.' His eyes blackened angrily and Ruth supposed she had been right and exposed him for what he was – a cool bastard. 'I haven't even got that far,BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,you . But with all this soft talk of falling in love again you think a refusal wouldn't be a consideration.' His eyes blackened angrily and Ruth supposed she had been right and exposed him for what he was – a cool bastard. 'I haven't even got that far,black,BE(COME)_BLACK,BE(COME)_BLACK
8,,,,down and as his mouth claimed hers so impassionately a flash of hope surged in her heart like a spear of lightning out of a blackened sky. Her senses reeled and she fell into his arms as his lips parted hers. The force and the power of his claim on her heart,ADJECTIVE,ADJECTIVE,ADJECTIVE,down and as his mouth claimed hers so impassionately a flash of hope surged in her heart like a spear of lightning out of a blackened sky. Her senses reeled and she fell into his arms as his lips parted hers. The force and the power of his claim on her heart,black,ADJECTIVE,ADJECTIVE
9,,,,"you had to sit with neck bent or smash your head against the ceiling. All the inside surfaces were wood, the fire smoke had blackened them and the heat produced a rich resinous smell of burning pine. We sat on the bench looking out of the window that was the",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"you had to sit with neck bent or smash your head against the ceiling. All the inside surfaces were wood, the fire smoke had blackened them and the heat produced a rich resinous smell of burning pine. We sat on the bench looking out of the window that was the",black,BURN,BURN
10,,,,"things has fallen in – these paprika patches on the factory floor are corrugated remnants of protective tin. Oddments blacken strangely on a nearby fence: rags, an old glove in a liquorice droop, wash leathers warp with dull black holly claws. It",BURN,BE(COME)_BLACK,BE(COME)_BLACK,"things has fallen in – these paprika patches on the factory floor are corrugated remnants of protective tin. Oddments blacken strangely on a nearby fence: rags, an old glove in a liquorice droop, wash leathers warp with dull black holly claws. It",black,BE(COME)_BLACK,BE(COME)_BLACK
11,,,,"in Lothian than snapping at his heels for a bigger share of Northumbria.' 'I agree with you,' Thorfinn had said. 'To blacken Lothian would do him no service. He must attack Wedale, yes; and the Norman lands to the west and any fortresses near. But",BURN,BURN,BURN,"in Lothian than snapping at his heels for a bigger share of Northumbria.' 'I agree with you,' Thorfinn had said. 'To blacken Lothian would do him no service. He must attack Wedale, yes; and the Norman lands to the west and any fortresses near. But",black,MAKE_BLACK,MAKE_BLACK
12,,,,"threw his hands this way and that, as if urging the cottages to speak for themselves. Gouts of rain tippled off his hat and blackened the black of his cloak. 'Don't you know a plague town when you see one? Every soul in this place was carried off this last",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"threw his hands this way and that, as if urging the cottages to speak for themselves. Gouts of rain tippled off his hat and blackened the black of his cloak. 'Don't you know a plague town when you see one? Every soul in this place was carried off this last",black,MAKE_BLACK,MAKE_BLACK
13,,,,"to be in! On the one hand I could send us both to prison, shame my mother, beggar my brothers, scandalize the city and blacken the Miletti name for evermore. On the other hand, I could do, I did, exactly the opposite, keeping my father satisfied",DEFAME,DEFAME,DEFAME,"to be in! On the one hand I could send us both to prison, shame my mother, beggar my brothers, scandalize the city and blacken the Miletti name for evermore. On the other hand, I could do, I did, exactly the opposite, keeping my father satisfied",black,DEFAME,DEFAME
14,,,,"on his side, after all. Because, after all, no-one had, as yet, told him that Presley City was going to be little more than blackened rubble in just two days time. Perhaps if they had he would have been trying just a little harder and not preparing himself",ADJECTIVE,ADJECTIVE,ADJECTIVE,"on his side, after all. Because, after all, no-one had, as yet, told him that Presley City was going to be little more than blackened rubble in just two days time. Perhaps if they had he would have been trying just a little harder and not preparing himself",black,ADJECTIVE,ADJECTIVE
15,,,,"it did so too. It was literally carbonized, lacking a roof and rattling noisily upon four tyreless rims. On the bare and blackened springs of what once had been the driver's seat, sat the bare and blackened remains of what once had been something or",ADJECTIVE,ADJECTIVE,ADJECTIVE,"it did so too. It was literally carbonized, lacking a roof and rattling noisily upon four tyreless rims. On the bare and blackened springs of what once had been the driver's seat, sat the bare and blackened remains of what once had been something or",black,ADJECTIVE,ADJECTIVE
16,,,,"upon four tyreless rims. On the bare and blackened springs of what once had been the driver's seat, sat the bare and blackened remains of what once had been something or other. It wasn't human and it wasn't nice. It was very angry though and in",ADJECTIVE,ADJECTIVE,ADJECTIVE,"upon four tyreless rims. On the bare and blackened springs of what once had been the driver's seat, sat the bare and blackened remains of what once had been something or other. It wasn't human and it wasn't nice. It was very angry though and in",black,ADJECTIVE,ADJECTIVE
17,,,,"at once. 'Oh bollocks,' muttered the Anti-Rex, 'Dee and Kelley, where are you?' 'Talked all night,' said Johnny Dee to blackened Bill. 'Waffle waffle waffle. All kinds of plots and plans and evil schemes. All crap, if you ask me. Ed and I had to go along",ADJECTIVE,ADJECTIVE,ADJECTIVE,"at once. 'Oh bollocks,' muttered the Anti-Rex, 'Dee and Kelley, where are you?' 'Talked all night,' said Johnny Dee to blackened Bill. 'Waffle waffle waffle. All kinds of plots and plans and evil schemes. All crap, if you ask me. Ed and I had to go along",black,ADJECTIVE,ADJECTIVE
18,,,,". That's all you have to know. And in a little over nine hours you'll all be dead too. This city will be gone, nothing but blackened rubble. And do you know why?' The puzzled head-scratching continued in some quarters, but helpless shrugging had now",ADJECTIVE,ADJECTIVE,ADJECTIVE,". That's all you have to know. And in a little over nine hours you'll all be dead too. This city will be gone, nothing but blackened rubble. And do you know why?' The puzzled head-scratching continued in some quarters, but helpless shrugging had now",black,ADJECTIVE,ADJECTIVE
19,,,,"ll be able to tell her hand on heart you kept the faith,' said Mallachy. 'It'll save you the trouble of telling lies, and blackening your soul, and paving the way for your long sojourn in hell.' Rory pulled the BMW over to the kerb. They were near the",CORRUPT,CORRUPT,CORRUPT,"ll be able to tell her hand on heart you kept the faith,' said Mallachy. 'It'll save you the trouble of telling lies, and blackening your soul, and paving the way for your long sojourn in hell.' Rory pulled the BMW over to the kerb. They were near the",black,CORRUPT,CORRUPT
20,,,,", soon lost among the trees. Morthen kicked the wild horse and galloped up to the earth wall. Her face was black. She had blackened her limbs and her shallow breast. Her hair was streaked white. She was wearing the rags of her old tunic, hanging in",PAINT_BODY_BLACK,PAINT_BODY_BLACK,PAINT_BODY_BLACK,", soon lost among the trees. Morthen kicked the wild horse and galloped up to the earth wall. Her face was black. She had blackened her limbs and her shallow breast. Her hair was streaked white. She was wearing the rags of her old tunic, hanging in",black,PAINT_BODY_BLACK,PAINT_BODY_BLACK
21,,,,", he had referred to Tallis as the woman whom he loved, and Morthen had taken both statements to her young heart. She had blackened her body to signal the blackening of her spirit. 'How will she get across the marsh?' Tallis asked, and Wyn-rajathuk",PAINT_BODY_BLACK,PAINT_BODY_BLACK,PAINT_BODY_BLACK,", he had referred to Tallis as the woman whom he loved, and Morthen had taken both statements to her young heart. She had blackened her body to signal the blackening of her spirit. 'How will she get across the marsh?' Tallis asked, and Wyn-rajathuk",black,PAINT_BODY_BLACK,PAINT_BODY_BLACK
22,,,,"woman whom he loved, and Morthen had taken both statements to her young heart. She had blackened her body to signal the blackening of her spirit. 'How will she get across the marsh?' Tallis asked, and Wyn-rajathuk glanced at her, then cocked his head,",NOUN,NOUN,NOUN,"woman whom he loved, and Morthen had taken both statements to her young heart. She had blackened her body to signal the blackening of her spirit. 'How will she get across the marsh?' Tallis asked, and Wyn-rajathuk glanced at her, then cocked his head,",black,PAINT_BODY_BLACK,PAINT_BODY_BLACK
23,,,,"to the east. This new movement was the boy. He appeared on the grass. He held two tall staffs, one in each hand. His face was blackened , an echo of Morthen. Around his body were tied strips of greying cloth, and Tallis recognized the ragged shrouds of the",BURN,BURN,BURN,"to the east. This new movement was the boy. He appeared on the grass. He held two tall staffs, one in each hand. His face was blackened , an echo of Morthen. Around his body were tied strips of greying cloth, and Tallis recognized the ragged shrouds of the",black,ADJECTIVE,ADJECTIVE
24,,,,"overnight there, conscious that just yards away a biting winter was flaring and dying, the trees sprouting, then blackening again, as if the buds were tiny creatures, grasping and snatching at the light, then quickly tugging back into their",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"overnight there, conscious that just yards away a biting winter was flaring and dying, the trees sprouting, then blackening again, as if the buds were tiny creatures, grasping and snatching at the light, then quickly tugging back into their",black,BE(COME)_BLACK,BE(COME)_BLACK
25,,,,"edifices of the ancient place covering the canyon, seemingly hewn from the stone itself. Among those ruins, among the blackened oaks and thorns, fires burned. Now, when Tallis listened hard, she could hear a drum being beaten as a warning. It was a",ADJECTIVE,ADJECTIVE,ADJECTIVE,"edifices of the ancient place covering the canyon, seemingly hewn from the stone itself. Among those ruins, among the blackened oaks and thorns, fires burned. Now, when Tallis listened hard, she could hear a drum being beaten as a warning. It was a",black,ADJECTIVE,ADJECTIVE
26,,,,"down their lengths; and in the centre of each watching wood were the shrivelled greying sorrows of severed sex. Blood, blackening now, was the paint on the birchwood gods. Huge carrion birds gorged on the flesh. They rose in panic as Tallis blundered",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"down their lengths; and in the centre of each watching wood were the shrivelled greying sorrows of severed sex. Blood, blackening now, was the paint on the birchwood gods. Huge carrion birds gorged on the flesh. They rose in panic as Tallis blundered",black,BE(COME)_BLACK,BE(COME)_BLACK
27,,,,"on wings of song. But he was smiling. He flailed around on the snow. He found Tallis and lifted her. He kissed her blackened face. He hugged her charred body. He stared at her through eyes that saw the shadows of many lands. He had absorbed Arak,",ADJECTIVE,ADJECTIVE,ADJECTIVE,"on wings of song. But he was smiling. He flailed around on the snow. He found Tallis and lifted her. He kissed her blackened face. He hugged her charred body. He stared at her through eyes that saw the shadows of many lands. He had absorbed Arak,",black,BURN,BURN
28,,,,"an hour later she was sitting cross-legged on the floor trying to come to terms with the lengths Jason Prior had gone to to blacken her reputation and safeguard his job. Luckily she had proof, because she didn't think it was going to take long before he",DEFAME,DEFAME,DEFAME,"an hour later she was sitting cross-legged on the floor trying to come to terms with the lengths Jason Prior had gone to to blacken her reputation and safeguard his job. Luckily she had proof, because she didn't think it was going to take long before he",black,DEFAME,DEFAME
29,,,,"bed, her legs crossed beneath her, and tried to hang on to her sanity. 'You can't ask me to leave just because someone has blackened my name –' Once more she was interrupted. 'I'm afraid we can, my dear. Look, we are all very sorry, but we have to think of",DEFAME,DEFAME,DEFAME,"bed, her legs crossed beneath her, and tried to hang on to her sanity. 'You can't ask me to leave just because someone has blackened my name –' Once more she was interrupted. 'I'm afraid we can, my dear. Look, we are all very sorry, but we have to think of",black,DEFAME,DEFAME
30,,,,"a dressmaker!' 'And what made her run his mother in to Dublin to change her wedding outfit, a woman, moreover, who'd blackened the character of her beloved grandfather.' 'What?' she whispered. 'He wasn't Phena's father, was he? No,' he",CORRUPT,CORRUPT,CORRUPT,"a dressmaker!' 'And what made her run his mother in to Dublin to change her wedding outfit, a woman, moreover, who'd blackened the character of her beloved grandfather.' 'What?' she whispered. 'He wasn't Phena's father, was he? No,' he",black,DEFAME,DEFAME
