Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_pinken_COHA_GENERIC,GPT_CATEGORY
1,1933,FIC,Invasion,tears from the irritating gas still streaked her face and her skin seemed to be pinkened a little from the same cause. Thorn swung around. His weapons were gone,BE(COME)_PINK,MAKE_PINK,BE(COME)_PINK,tears from the irritating gas still streaked her face and her skin seemed to be pinkened a little from the same cause. Thorn swung around. His weapons were gone,unknown,BE(COME)_PINK,BE(COME)_PINK
2,1952,FIC,BackTown,"other side of town, Sherry stood and shaved before a mirror, his body pinkened from a shower, a grayish bath-towel wrapped about his middle. There was the",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"other side of town, Sherry stood and shaved before a mirror, his body pinkened from a shower, a grayish bath-towel wrapped about his middle. There was the",unknown,BE(COME)_PINK,BE(COME)_PINK
3,1955,FIC,BandAngels,"crackled and then began to roar, and the white walls of the lounge were pinkened , then black-shadowed by the flames. The manager, frock-coated, stripedtrousered, arrived",MAKE_PINK,MAKE_PINK,MAKE_PINK,"crackled and then began to roar, and the white walls of the lounge were pinkened , then black-shadowed by the flames. The manager, frock-coated, stripedtrousered, arrived",unknown,MAKE_PINK,MAKE_PINK
4,1955,FIC,MissMorissaDoctor,"setting off their handsome darkness and the whiteness of her skin, although it was pinkened a little by the wind, even through the veil. | Aunt Clara managed",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"setting off their handsome darkness and the whiteness of her skin, although it was pinkened a little by the wind, even through the veil. | Aunt Clara managed",unknown,ADJECTIVE,ADJECTIVE
5,1955,FIC,MissMorissaDoctor,"with her kind, "" the woman said, tight-lipped, the thin cheekbones surprisingly pinkened . Charley tilted his chair back and laughed and didn't remind Ruth that one",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"with her kind, "" the woman said, tight-lipped, the thin cheekbones surprisingly pinkened . Charley tilted his chair back and laughed and didn't remind Ruth that one",unknown,BE(COME)_PINK,BE(COME)_PINK
6,1968,MAG,Time,"silliest line of the year (so far): "" Camilla's cheeks prettily pinkened . "" # The Deal, by G. William Marshall (511 pages; Bartholomew",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"silliest line of the year (so far): "" Camilla's cheeks prettily pinkened . "" # The Deal, by G. William Marshall (511 pages; Bartholomew",unknown,BE(COME)_PINK,BE(COME)_PINK
7,1971,FIC,Wonderland,"successful and kindly and in perpetual joyful motion like her father. His hands were pinkened as if with a fresh surge of blood. "" No need to look so",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"successful and kindly and in perpetual joyful motion like her father. His hands were pinkened as if with a fresh surge of blood. "" No need to look so",unknown,ADJECTIVE,ADJECTIVE
8,1972,FIC,FlameFlower,"if you kiss me like that, "" he said huskily. Heather's face pinkened . The kiss had held some surprises for her, too, for she had",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"if you kiss me like that, "" he said huskily. Heather's face pinkened . The kiss had held some surprises for her, too, for she had",unknown,BE(COME)_PINK,BE(COME)_PINK
9,1990,MAG,Americas,"to see, "" Trent says. "" The ground is blackened, whitened and pinkened by the multitude of birds that fly in. "" # For many travellers,",MAKE_PINK,MAKE_PINK,MAKE_PINK,"to see, "" Trent says. "" The ground is blackened, whitened and pinkened by the multitude of birds that fly in. "" # For many travellers,",unknown,MAKE_PINK,MAKE_PINK
10,2006,FIC,WolfBoyNovel,"in the way a chilly breeze moved Francis's hair or how the cold had pinkened his face and made his eyes wet as he stood, alive, just a",MAKE_PINK,MAKE_PINK,MAKE_PINK,"in the way a chilly breeze moved Francis's hair or how the cold had pinkened his face and made his eyes wet as he stood, alive, just a",unknown,MAKE_PINK,MAKE_PINK
11,2011,FIC,Bk:DeceptionAtLyme,brightened Georgiana's eyes and loosened tendrils of honey-blond hair that fluttered becomingly around cheeks pinkened by the persistent sea breeze -- or perhaps by consciousness of being the object of,MAKE_PINK,MAKE_PINK,MAKE_PINK,brightened Georgiana's eyes and loosened tendrils of honey-blond hair that fluttered becomingly around cheeks pinkened by the persistent sea breeze -- or perhaps by consciousness of being the object of,unknown,MAKE_PINK,MAKE_PINK
12,2019,FIC,Ploughshares,wind howled as if across an opened pop bottle; the flesh on my hands pinkened and chapped. # A young woman approaching me smiled. Winter for her was as,BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,wind howled as if across an opened pop bottle; the flesh on my hands pinkened and chapped. # A young woman approaching me smiled. Winter for her was as,unknown,ADJECTIVE,ADJECTIVE
