Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_blacken_COHA_GENERIC,GPT_CATEGORY
268,1997,TV/MOV,...t in the Garden of Good and Evil,"  pocket. Get a picture. Sew up the mouth with dove's blood. Blacken the eyes. Now, go. I got work. Boy... Take these",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  pocket. Get a picture. Sew up the mouth with dove's blood. Blacken the eyes. Now, go. I got work. Boy... Take these",black,PAINT_BODY_BLACK,PAINT_BODY_BLACK
683,1970,FIC,Across110th,  escape from the rotting wharfs and condemned warehouses. The garage's red bricks were blackened by years of soot and they almost missed the sign hanging tilted and loose:,BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,  escape from the rotting wharfs and condemned warehouses. The garage's red bricks were blackened by years of soot and they almost missed the sign hanging tilted and loose:,black,MAKE_BLACK,MAKE_BLACK
277,1877,FIC,AdriftInIce-Fields,"  open lantern, lay the dead farmer, with his worn frieze coat torn and blackened, and his black hair knotted with pond weeds, and clotted with gore.",ADJECTIVE,BE(COME)_BLACK,ADJECTIVE,"  open lantern, lay the dead farmer, with his worn frieze coat torn and blackened, and his black hair knotted with pond weeds, and clotted with gore.",black,ADJECTIVE,ADJECTIVE
278,1877,FIC,AdriftInIce-Fields,"  immovable inner ice-fields; swam placidly among the narrow leads, or in huge bodies blackened the open pools or the projecting points of ice. Among them, too,",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  immovable inner ice-fields; swam placidly among the narrow leads, or in huge bodies blackened the open pools or the projecting points of ice. Among them, too,",black,BE(COME)_BLACK,BE(COME)_BLACK
49,1839,FIC,AdventuresHarry,"  , I walked boldly into a little musty room, the walls of which were blackened with smoke, and the windows and shelves covered with dust and cobwebs. A",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  , I walked boldly into a little musty room, the walls of which were blackened with smoke, and the windows and shelves covered with dust and cobwebs. A",black,ADJECTIVE,ADJECTIVE
465,1920,FIC,AdventuresInSouthern,"  fastened round each middle and above this a girdle of human hair. They then blackened with charcoal, and their wounds plastered with clay in order to form the hands",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  fastened round each middle and above this a girdle of human hair. They then blackened with charcoal, and their wounds plastered with clay in order to form the hands",black,MAKE_BLACK,MAKE_BLACK
446,1917,FIC,AdventuresJimmie,"  Gray Seal! Jimmie Dale's hands, whose delicate fingers were artfully grimed and blackened now beneath the nails, clenched still tighter -- and then, with a quick",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  Gray Seal! Jimmie Dale's hands, whose delicate fingers were artfully grimed and blackened now beneath the nails, clenched still tighter -- and then, with a quick",black,MAKE_BLACK,MAKE_BLACK
16,1835,FIC,AdventuresTimothy,  grew impatient for the moment of its execution to arrive. Meanwhile the thick and blackening mass of cloud in the south was rapidly approaching. Nearer and nearer fell the,ADJECTIVE,ADJECTIVE,ADJECTIVE,  grew impatient for the moment of its execution to arrive. Meanwhile the thick and blackening mass of cloud in the south was rapidly approaching. Nearer and nearer fell the,black,BE(COME)_BLACK,BE(COME)_BLACK
249,1871,NF/ACAD,AdventuresYoung,"  Unfortunately, our torches gave a very insufficient light, and the thick smoke rapidly blackened the arches above us. A great polished stone now impeded our passage, and",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  Unfortunately, our torches gave a very insufficient light, and the thick smoke rapidly blackened the arches above us. A great polished stone now impeded our passage, and",black,MAKE_BLACK,MAKE_BLACK
102,1871,NF/ACAD,AdventuresYoung,"  in America, and however weak its action may be, it is sufficient to blacken the pigment. "" "" But if they always lived in the shade? """,MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  in America, and however weak its action may be, it is sufficient to blacken the pigment. "" "" But if they always lived in the shade? """,black,MAKE_BLACK,MAKE_BLACK
180,1922,NF/ACAD,AfootInEngland,"  throw it away. That any millionaire should hesitate for a moment to blast and blacken any part of the earth's surface, howsoever green and refreshing to the heart",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  throw it away. That any millionaire should hesitate for a moment to blast and blacken any part of the earth's surface, howsoever green and refreshing to the heart",black,MAKE_BLACK,MAKE_BLACK
772,1994,FIC,AfricanAmerRev,"  river, "" the old man began most of his stories. His hand, blackened by the Jericho sun, would be raised above his brow to shield his eyes",BE(COME)_BLACK,MAKE_BLACK,BE(COME)_BLACK,"  river, "" the old man began most of his stories. His hand, blackened by the Jericho sun, would be raised above his brow to shield his eyes",black,ADJECTIVE,ADJECTIVE
653,1961,FIC,AgonyEcstasy,"  . "" My father was right, "" commented Michelangelo, his hands and arms blackened with the pigment: "" to be an artist is first to be a manual",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  . "" My father was right, "" commented Michelangelo, his hands and arms blackened with the pigment: "" to be an artist is first to be a manual",black,ADJECTIVE,ADJECTIVE
25,1840,FIC,AirsPalestineOther,"  , -- his servants here, -- your seat? There's a cloud, blackening up the sky! East, west, and north its curtain spreads; Lift",BO_COVER,BO_COVER,BO_COVER,"  , -- his servants here, -- your seat? There's a cloud, blackening up the sky! East, west, and north its curtain spreads; Lift",black,BE(COME)_BLACK,BE(COME)_BLACK
259,1986,FIC,AlienFlesh,  | the scaly wall. The tongue bites and gouges. Flakes roast off and blacken and finally bubble up like tar. The rushing proton currents wash the flakes away,BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,  | the scaly wall. The tongue bites and gouges. Flakes roast off and blacken and finally bubble up like tar. The rushing proton currents wash the flakes away,black,BURN,BURN
377,1898,FIC,AllAboard A,"  skin drawn like a mummy's across the prominent bones, the lips stiff and blackened, between which the teeth shone whitely, the eyes sunken and but half closed",ADJECTIVE,BE(COME)_BLACK,ADJECTIVE,"  skin drawn like a mummy's across the prominent bones, the lips stiff and blackened, between which the teeth shone whitely, the eyes sunken and but half closed",black,ADJECTIVE,ADJECTIVE
549,1942,FIC,AlongStreet,"  no nozzle) and wash the brick pavement, specially after the coal man had blackened it with dust; or sweep a late surprisingsnow; or astound the dealer in",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  no nozzle) and wash the brick pavement, specially after the coal man had blackened it with dust; or sweep a late surprisingsnow; or astound the dealer in",black,MAKE_BLACK,MAKE_BLACK
418,1908,FIC,AmabelChannice,"  to see him also, with those eyes of compassionate understanding; he was not blackened, to her vision, by the shadowing corruption, but, in his way",CORRUPT,CORRUPT,CORRUPT,"  to see him also, with those eyes of compassionate understanding; he was not blackened, to her vision, by the shadowing corruption, but, in his way",black,CORRUPT,CORRUPT
150,1908,FIC,AmabelChannice,"  , Amabel, "" Lady Elliston suddenly pleaded, "" this is not going to blacken things for you; you won't let it blacken things. You will live",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  , Amabel, "" Lady Elliston suddenly pleaded, "" this is not going to blacken things for you; you won't let it blacken things. You will live",black,DEFAME,DEFAME
151,1908,FIC,AmabelChannice,  this is not going to blacken things for you; you won't let it blacken things. You will live; you will leave your prison and come out into,MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,  this is not going to blacken things for you; you won't let it blacken things. You will live; you will leave your prison and come out into,black,CORRUPT,CORRUPT
75,1867,FIC,AmbroseFecitThe,"  cry out, but was in imminent danger of strangulation. His face began to blacken, his tongue protruded, his eyes seemed bursting from their sockets, and his",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"  cry out, but was in imminent danger of strangulation. His face began to blacken, his tongue protruded, his eyes seemed bursting from their sockets, and his",black,BE(COME)_BLACK,BE(COME)_BLACK
10,1831,FIC,AmericanCommon-place,"  shore Where storms are hushed, where tempests never rage; Where angry skies and blackening seas no more With gusty strength their roaring warfare wage. By thee its peaceful",ADJECTIVE,ADJECTIVE,ADJECTIVE,"  shore Where storms are hushed, where tempests never rage; Where angry skies and blackening seas no more With gusty strength their roaring warfare wage. By thee its peaceful",black,BE(COME)_BLACK,BE(COME)_BLACK
