Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_whiten_COCA_GENERIC,GPT_CATEGORY
4,2019,ACAD,... Brazilian Administration Review,"  social and material benefits in the Brazilian society. In addition, racism manifests through whitening, stating the superiority of being white in racist societies. Making whitening something fundamental",NOUN,NOUN,NOUN,"  social and material benefits in the Brazilian society. In addition, racism manifests through whitening, stating the superiority of being white in racist societies. Making whitening something fundamental",white,NOUN,NOUN
5,2019,ACAD,... Brazilian Administration Review,"  manifests through whitening, stating the superiority of being white in racist societies. Making whitening something fundamental for racialization mean seeing whitening not as a property of certain bodies but",NOUN,NOUN,NOUN,"  manifests through whitening, stating the superiority of being white in racist societies. Making whitening something fundamental for racialization mean seeing whitening not as a property of certain bodies but",white,NOUN,NOUN
6,2019,ACAD,... Brazilian Administration Review,  of being white in racist societies. Making whitening something fundamental for racialization mean seeing whitening not as a property of certain bodies but as part of the social relations by,NOUN,NOUN,NOUN,  of being white in racist societies. Making whitening something fundamental for racialization mean seeing whitening not as a property of certain bodies but as part of the social relations by,white,NOUN,NOUN
7,2019,ACAD,... Brazilian Administration Review,"  supremacy and superiority is stated, and the end of racism requires the end of whitening (Jensen, 2011). Moreover, in the Brazilian context, social class",NOUN,NOUN,NOUN,"  supremacy and superiority is stated, and the end of racism requires the end of whitening (Jensen, 2011). Moreover, in the Brazilian context, social class",white,NOUN,NOUN
8,2019,ACAD,... Brazilian Administration Review,"  Wagley, 1952). Thus, social class can act as a form of whitening or blackening (Azevedo, 1995; M. N. da Silva, 2000; N.",NOUN,NOUN,NOUN,"  Wagley, 1952). Thus, social class can act as a form of whitening or blackening (Azevedo, 1995; M. N. da Silva, 2000; N.",white,NOUN,NOUN
9,2019,ACAD,... Brazilian Administration Review,"  process by which race is resignified, it was verified that social class acts as whitening in the Brazilian context. Whitening through social class evidence how race is classified and",NOUN,NOUN,NOUN,"  process by which race is resignified, it was verified that social class acts as whitening in the Brazilian context. Whitening through social class evidence how race is classified and",white,MAKE_IDENTITY_WHITE,MAKE_IDENTITY_WHITE
10,2019,ACAD,... Brazilian Administration Review,"  , it was verified that social class acts as whitening in the Brazilian context. Whitening through social class evidence how race is classified and constituted by aspects related to social",NOUN,NOUN,NOUN,"  , it was verified that social class acts as whitening in the Brazilian context. Whitening through social class evidence how race is classified and constituted by aspects related to social",white,NOUN,NOUN
11,2019,ACAD,... Brazilian Administration Review,"  level of racial miscegenation in Brazil (Degler, 1971) in the search for whitening (Lacerda, 1912; Schwarcz, 2012). # However, as E8",NOUN,NOUN,NOUN,"  level of racial miscegenation in Brazil (Degler, 1971) in the search for whitening (Lacerda, 1912; Schwarcz, 2012). # However, as E8",white,NOUN,NOUN
103,2019,ACAD,... Brazilian Administration Review,  in the Brazilian context. It is not simply racial miscegenation with whites that produces whitening. The social class to which the subject belongs is an important factor for whitening,NOUN,NOUN,NOUN,  in the Brazilian context. It is not simply racial miscegenation with whites that produces whitening. The social class to which the subject belongs is an important factor for whitening,white,NOUN,NOUN
104,2019,ACAD,... Brazilian Administration Review,"  whitening. The social class to which the subject belongs is an important factor for whitening and resignification of race, making racial intelligibility exceed phenotypic characteristics (Hall, 2000",NOUN,NOUN,NOUN,"  whitening. The social class to which the subject belongs is an important factor for whitening and resignification of race, making racial intelligibility exceed phenotypic characteristics (Hall, 2000",white,NOUN,NOUN
105,2019,ACAD,... Brazilian Administration Review,"  of race, making racial intelligibility exceed phenotypic characteristics (Hall, 2000). Whitening in the Brazilian society is obtained not only by the miscegenation between African and European",NOUN,NOUN,NOUN,"  of race, making racial intelligibility exceed phenotypic characteristics (Hall, 2000). Whitening in the Brazilian society is obtained not only by the miscegenation between African and European",white,NOUN,NOUN
106,2019,ACAD,... Brazilian Administration Review,"  of E10 (Black, Middle) clarifies social class performance as a form of whitening (Azevedo, 1966; M. N. da Silva, 2000; N. do V.",NOUN,NOUN,NOUN,"  of E10 (Black, Middle) clarifies social class performance as a form of whitening (Azevedo, 1966; M. N. da Silva, 2000; N. do V.",white,NOUN,NOUN
107,2019,ACAD,... Brazilian Administration Review,"  , social class is fundamental to the process of Brazilian racialization, demonstrating that both whitening and blackening are not a phenotypic property of the bodies themselves (DuBois, 1970",NOUN,NOUN,NOUN,"  , social class is fundamental to the process of Brazilian racialization, demonstrating that both whitening and blackening are not a phenotypic property of the bodies themselves (DuBois, 1970",white,NOUN,NOUN
108,2019,ACAD,... Brazilian Administration Review,"  by the social class and not race. However, in an indirect way, whitening by social class shows the existence of structural racism in Brazil. Whitening through social",NOUN,NOUN,NOUN,"  by the social class and not race. However, in an indirect way, whitening by social class shows the existence of structural racism in Brazil. Whitening through social",white,NOUN,NOUN
109,2019,ACAD,... Brazilian Administration Review,"  way, whitening by social class shows the existence of structural racism in Brazil. Whitening through social class demonstrates the existence of structural racism, even when operating through class",NOUN,NOUN,NOUN,"  way, whitening by social class shows the existence of structural racism in Brazil. Whitening through social class demonstrates the existence of structural racism, even when operating through class",white,NOUN,NOUN
110,2019,ACAD,... Brazilian Administration Review,"  race beyond the phenotypic characteristics that underlie race prejudice, acting as a form of whitening or blackening of the subjects. The boundaries between race and class identities are so",NOUN,NOUN,NOUN,"  race beyond the phenotypic characteristics that underlie race prejudice, acting as a form of whitening or blackening of the subjects. The boundaries between race and class identities are so",white,NOUN,NOUN
39,2012,WEB,...al.library.upenn.edu,"  three others, a godown on very high stilts, and a mound of graves whitened by the petals of the Frangipani, with a great many cocoa-nut and other trees",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"  three others, a godown on very high stilts, and a mound of graves whitened by the petals of the Frangipani, with a great many cocoa-nut and other trees",white,MAKE_WHITE,MAKE_WHITE
63,2012,BLOG,...armerpandaupdate.com,"  observe this is to try using ovulation predictors and as well never-ending circuit supervising teeth whitening products. # Combined with these cheese, We had arrived possibly aware do not",ADJECTIVE,ADJECTIVE,ADJECTIVE,"  observe this is to try using ovulation predictors and as well never-ending circuit supervising teeth whitening products. # Combined with these cheese, We had arrived possibly aware do not",white,NOUN,NOUN
39,2012,BLOG,...bursorm.blogspot.com,  ????????????? Wonderful Teeth Whitening Suggestions For A Brighter Smile! Let Your Smile Shine A Mile Away With These,ADJECTIVE,ADJECTIVE,ADJECTIVE,  ????????????? Wonderful Teeth Whitening Suggestions For A Brighter Smile! Let Your Smile Shine A Mile Away With These,white,NOUN,NOUN
40,2012,BLOG,...bursorm.blogspot.com,  Mile Away With These Simple Recommendations! Pearly Whites Are Possible By Following These Teeth Whitening Ideas Dental ansvar Care For The,NOUN,NOUN,NOUN,  Mile Away With These Simple Recommendations! Pearly Whites Are Possible By Following These Teeth Whitening Ideas Dental ansvar Care For The,white,NOUN,NOUN
58,2012,BLOG,...ccupycorporatism.com,"  are experiencing. # To combat global warming, they are using solar engineering to whiten skies to reflect sunlight back out into space; however this aluminum aerosol sprayed into",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"  are experiencing. # To combat global warming, they are using solar engineering to whiten skies to reflect sunlight back out into space; however this aluminum aerosol sprayed into",white,MAKE_WHITE,MAKE_WHITE
97,2007,MOV,...ce Colon Movie Film for Theaters,"  My hands are tied at this point. I kind of also got a teeth whitening package. So, you know... don't stay up. Meet us out",ADJECTIVE,ADJECTIVE,ADJECTIVE,"  My hands are tied at this point. I kind of also got a teeth whitening package. So, you know... don't stay up. Meet us out",white,NOUN,NOUN
94,2007,MOV,...ce Colon Movie Film for Theaters,"  four hours. Pick this egg up now! But my teeth have just been whitened! These teeth here, they make for a pretty good stool. - You",BLEACH,BLEACH,BLEACH,"  four hours. Pick this egg up now! But my teeth have just been whitened! These teeth here, they make for a pretty good stool. - You",white,ADJECTIVE,ADJECTIVE
41,2012,WEB,...documentaryfilms.com,  chem-trail jets have white underbellies so as to probably make them less visible as the whiten our skies with their pollution. They also fly much higher and leave very long,MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,  chem-trail jets have white underbellies so as to probably make them less visible as the whiten our skies with their pollution. They also fly much higher and leave very long,white,MAKE_WHITE,MAKE_WHITE
42,2012,WEB,...documentaryfilms.com,  also fly much higher and leave very long and thick trails that now dissipate and whiten the skies. # Neno # This white layer they're adding to our sky,MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,  also fly much higher and leave very long and thick trails that now dissipate and whiten the skies. # Neno # This white layer they're adding to our sky,white,MAKE_WHITE,MAKE_WHITE
73,2012,BLOG,...ecollegeprepster.com,"  , oranges, pinks and reds. Other than that, just make sure to whiten your teeth, bring a concealer stick in case of bleeds (huge help)",BLEACH,BLEACH,BLEACH,"  , oranges, pinks and reds. Other than that, just make sure to whiten your teeth, bring a concealer stick in case of bleeds (huge help)",white,BLEACH,BLEACH
44,2012,WEB,...euntrue.blogspot.com,"  oppressed and turning them into criminals. The true history of the world has been whitened. Blacks have been brainwashed for hundreds of years, told they are worth less",MAKE_IDENTITY_WHITE,MAKE_IDENTITY_WHITE,MAKE_IDENTITY_WHITE,"  oppressed and turning them into criminals. The true history of the world has been whitened. Blacks have been brainwashed for hundreds of years, told they are worth less",white,MAKE_IDENTITY_WHITE,MAKE_IDENTITY_WHITE
