Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_pinken_COCA_GENERIC,GPT_CATEGORY
1,2019,FIC,Ploughshares,"  wind howled as if across an opened pop bottle the flesh on my hands , pinkened and chapped. # A young woman approaching me smiled. Winter for her was as,",MAKE_PINK,BE(COME)_PINK,ADJECTIVE,"  wind howled as if across an opened pop bottle the flesh on my hands , pinkened and chapped. # A young woman approaching me smiled. Winter for her was as,",unknown,ADJECTIVE,ADJECTIVE
2,2016,FIC,Literary Review,"  Dr. Koons was saying, the doctor's dark eyes uncharacteristically bright, his cheeks  pinkened  as he urged the husband to express himself more daringly while his wife lay naked",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"  Dr. Koons was saying, the doctor's dark eyes uncharacteristically bright, his cheeks  pinkened  as he urged the husband to express himself more daringly while his wife lay naked",unknown,BE(COME)_PINK,BE(COME)_PINK
3,2015,FIC,Bk:DeathCyprianSociety,"  You can? "" # "" Yes. Your sprint through the upper garden has  pinkened  your cheeks. "" # ""' ",MAKE_PINK,MAKE_PINK,MAKE_PINK,"  You can? "" # "" Yes. Your sprint through the upper garden has  pinkened  your cheeks. "" # ""' ",unknown,MAKE_PINK,MAKE_PINK
,2015,FIC,Bk:DeathCyprianSociety," your cheeks. "" # ""'  pinkened '? Is that even a word",MAKE_PINK,MAKE_PINK,MAKE_PINK," your cheeks. "" # ""'  pinkened '? Is that even a word",unknown,MAKE_PINK,MAKE_PINK
4,2012,BLOG,...veminorityreport.com,"  I nudged the boy and told him to look up at the sky which had  pinkened  at dusk. He stared for a moment and he said, "" Wow.",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"  I nudged the boy and told him to look up at the sky which had  pinkened  at dusk. He stared for a moment and he said, "" Wow.",unknown,BE(COME)_PINK,BE(COME)_PINK
5,2011,FIC,Bk:DeceptionAtLyme,  brightened Georgiana's eyes and loosened tendrils of honey-blond hair that fluttered becomingly around cheeks  pinkened  by the persistent sea breeze -- or perhaps by consciousness of being,MAKE_PINK,MAKE_PINK,MAKE_PINK,  brightened Georgiana's eyes and loosened tendrils of honey-blond hair that fluttered becomingly around cheeks  pinkened  by the persistent sea breeze -- or perhaps by consciousness of being,unknown,MAKE_PINK,MAKE_PINK
6,2010,FIC,Bk:GeorgiasKitchen,"  eyes were green and catlike, her skin fair and clear, the type that  pinkened  from the slightest exertion, and her nose, long and thin, would have",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"  eyes were green and catlike, her skin fair and clear, the type that  pinkened  from the slightest exertion, and her nose, long and thin, would have",unknown,BE(COME)_PINK,BE(COME)_PINK
7,2006,FIC,Bk:WolfBoy,"  in the way a chilly breeze moved Francis's hair or how the cold had  pinkened  his face and made his eyes wet as he stood, alive, just a",MAKE_PINK,MAKE_PINK,MAKE_PINK,"  in the way a chilly breeze moved Francis's hair or how the cold had  pinkened  his face and made his eyes wet as he stood, alive, just a",unknown,MAKE_PINK,MAKE_PINK
8,1995,FIC,Bk:Justice,"  . "" "" Nobility wears well on you, kid. "" Whitman's cheeks  pinkened . "" In another world, I was a knight. Look, these cuffs",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"  . "" "" Nobility wears well on you, kid. "" Whitman's cheeks  pinkened . "" In another world, I was a knight. Look, these cuffs",unknown,BE(COME)_PINK,BE(COME)_PINK
9,1993,FIC,HarpersMag,"  emerge onto the deck. In haste, Frank had slipped on shorts. Sunlight  pinkened  his chest, arms and legs. He was young and beautiful -- why had",MAKE_PINK,MAKE_PINK,MAKE_PINK,"  emerge onto the deck. In haste, Frank had slipped on shorts. Sunlight  pinkened  his chest, arms and legs. He was young and beautiful -- why had",unknown,MAKE_PINK,MAKE_PINK
10,1992,FIC,BkSF:DanceDead,  sparkled underneath the heavy layer of eye coloring. Her mouth and cheeks had been  pinkened  to the same shade as her garb. Larissa glanced up at her in the,APPLY_PINK,APPLY_PINK,APPLY_PINK,  sparkled underneath the heavy layer of eye coloring. Her mouth and cheeks had been  pinkened  to the same shade as her garb. Larissa glanced up at her in the,unknown,APPLY_PINK,BE(COME)_PINK
11,1991,FIC,Atlantic,"  the unserious effect of "" birdbrain, "" because for the first time her cheeks  pinkened . She moved half-running toward the yard, and then her mother -- what,",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"  the unserious effect of "" birdbrain, "" because for the first time her cheeks  pinkened . She moved half-running toward the yard, and then her mother -- what,",unknown,BE(COME)_PINK,BE(COME)_PINK
12,1990,FIC,Ploughshares,"  music pounding on the speakers and Jennifer stepping out of a steamy bath, skin  pinkened , wrapping her Athena-like body in a robe. He smiled. He would wait",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"  music pounding on the speakers and Jennifer stepping out of a steamy bath, skin  pinkened , wrapping her Athena-like body in a robe. He smiled. He would wait",unknown,BE(COME)_PINK,BE(COME)_PINK
13,1990,MAG,Americas,"  to see, "" Trent says. "" The ground is blackened, whitened and  pinkened  by the multitude of birds that fly in. "" # For many travellers,",MAKE_PINK,MAKE_PINK,MAKE_PINK,"  to see, "" Trent says. "" The ground is blackened, whitened and  pinkened  by the multitude of birds that fly in. "" # For many travellers,",unknown,MAKE_PINK,MAKE_PINK
